STT;Loại hàng hóa;Tên hàng hóa;Đơn vị tính;Thông số kỹ thuật;Giá thẩm định(VND);Chứng thư thẩm định số;Ngày thẩm định;Nguồn dữ liệu;Người thẩm định
167;;"Phân bón NPK - vi lượng: Lacca SOTO 500PC
";Chai;"- Phân bón NPK - vi lượng: Lacca SOTO 500PC
Thành phần:
- Đạm tổng số (Nts): 9%;
- Lân hữu hiệu (P2O5hh): 9%;
- Kali hữu hiệu (K2Ohh): 9%;
- Bo (B): 1000 mg/l; 
- Sắt (Fe): 100 mg/l; 
- Kẽm (Zn): 50 mg/l;
- Mangan (Mn): 50 mg/l;
- Tỷ trọng: 1,21
Quy cách: 500ml/chai";126500;405/2025/1383/HĐTĐG;28/11/2025;…;Bùi Thị Trà Giang
168;;" Phân bón vi lượng: I300M-RI
";Chai;"- Phân bón vi lượng: I300M-RI
Thành phần: 
- Bo (B): 3500 mg/l;
- Molipđen (Mo): 55 mg/l; 
- Mangan (Mn): 140 mg/l; 
- Đồng (Cu): 50 mg/l;
- Kẽm (Zn): 100 mg/l;
- Sắt (Fe): 50 mg/l;
- Tỷ trọng: 1,20;
Quy cách: 500ml/chai";140000;405/2025/1383/HĐTĐG;28/11/2025;…;Bùi Thị Trà Giang
169;;"Phân bón sinh học - vi lượng: HT-HUMIC
";kg;"- Phân bón sinh học - vi lượng: HT-HUMIC
Thành phần:
- Axit humic (C): 37,7%; 
- Bo (B): 2000 ppm;
- Độ ẩm: 25%;
- pHH2O: 7;  
Quy cách: 1kg/gói";110000;405/2025/1383/HĐTĐG;28/11/2025;…;Bùi Thị Trà Giang
170;;"Chế phẩm vi sinh: SUMITRI
 ";kg;"- Chế phẩm vi sinh: SUMITRI
 Chế phẩm sinh học: Chế phẩm sinh học phân hủy rơm rạ R1
Thành phần:
- Vi sinh vật phân giải Xenlulo (min): 1010 CFU/kg
Quy cách: 1kg/gói";230000;405/2025/1383/HĐTĐG;28/11/2025;…;Bùi Thị Trà Giang
171;;Bộ ấm chén BONE-BAT08 kẻ vàng (gồm 6 cốc, 6 đĩa lót cốc, 1 ấm trà, 1 đĩa lót ấm trà);Bộ;"- Nguyên liệu: Cao lanh, fenspat, thạch anh
- Nhiệt độ nung: 1280°C lần 1 – phủ men không chì sau đó nung lần 2 ở nhiệt độ 1080°C đảm bảo an toàn cho sức khỏe
- Đặc điểm: Bộ sản phẩm sứ quà tặng cao cấp: trắng mịn, độ trong độ xuyên thấu cao, siêu nhẹ, bền đẹp, chịu nhiệt, không nhiễm chì, không nhiễm kim loại nặng, an toàn khi sử dụng, dễ dàng vệ sinh";509000;405/2025/955/HĐTĐG;28/11/2025;…;Bùi Thị Trà Giang
172;;Bánh Omeli Cracker khoai tây 288g;Hộp;"- Khối lượng tịnh : 540g/hộp
-Thành phần cơ bản: Bột mì, đường, bơ (172%), chất béo thực vật (shortening, dầu cọ, dầu dừa), sữa bột gầy, trứng gà, dừa sấy, mạch nha, bột cacao, socola chíp, hạt chia, chất nhũ hoá (322(i)), muối, chất tạo xốp (503(ii), hương liệu tổng hợp (sữa, bơ, vanilla, dừa), màu thực phẩm tổng hợp [beta-caroten (160a(i), 110]
- Mô tả sản phẩm: Bánh giòn, xốp được xếp vào khay và bảo quản trong hộp thiếc đảm bảo an toàn thực phẩm
- Hạn sử dụng: Hạn sử dụng 18 tháng, hạn sử dụng còn lại ≥ 2/3 hạn sử dụng kể từ ngày giao hàng
- Tiêu chuẩn sản xuất: Hệ thống quản lý Iso Tiêu chuẩn ISO 22000: 2018
- Sản xuất tại: Việt Nam – Công ty cổ phần quốc tế Bảo Hưng";128000;405/2025/838/HĐ;28/11/2025;…;Bùi Thị Trà Giang
173;;Bánh mềm phủ Sôcôla Donut Omeli vị chuối 300g;Hộp;"- Khối lượng tịnh: 300g/hộp
- Thành phần cơ bản: Bột mì, đường, chất béo thực vật, mạch nha, trứng gà, chất làm ẩm (420(ii), 422, 1520), bột ca cao (25%), sữa bột béo, tinh bột bắp, sữa bột gầy, chất nhũ hóa (471, 475, 477, 491, 322(i), 492, 476), bột trứng, bột kem thực vật, bột chuối (05%), chất tạo xốp, (500(ii), 503(ii), 450(i)), đạm đậu nành, bơ, đường dextrose, kem đặc có đường, bột whey, muối, hương liệu tổng hợp (chuối, vanilla, sôcôla, sữa), chất điều chỉnh độ acid (341(i)), chất làm dày (415), chất bảo quản (202), chất xử lý bột (170(i)), màu thực phẩm tông hợp [Beta Caroten tổng hợp 160a(i)]
- Quy cách: Bánh hình tròn, xốp, mềm, ở giữa là lớp kem ở ngoài phủ socola mịn Đóng trong hộp bằng chất liệu giấy cứng đảm bảo an toàn thực phẩm
- Hạn sử dụng: Hạn sử dụng 12 tháng, hạn sử dụng còn lại ≥ 2/3 hạn sử dụng kể từ ngày giao hàng
- Tiêu chuẩn sản xuất: Hệ thống quản lý Iso Tiêu chuẩn ISO 22000: 2018
- Sản xuất tại: Việt Nam – Công ty cổ phần quốc tế Bảo Hưng";39000;405/2025/838/HĐ;28/11/2025;…;Bùi Thị Trà Giang
174;;Bánh quế cuộn sữa dừa BH Omeli 210g;Hộp;"- Khối lượng tịnh: 210g/hộp
- Thành phần cơ bản : Bột mì, đường, chất béo thực vật [shortening, dầu cọ tinh luyện [có chứa chất chống oxi hóa (320, 321)], tỉnh bột đậu, sữa whey, đường glucô, sữa béo (3%), bơ (196%), bột sữa dừa (15%), tinh bột biến tính (1422), chất làm dày [xanhthan gum (415)], chất nhũ hóa [lecithin (322i)], muối, hương liệu tổng hợp (vanillin, dừa)
- Quy cách : Bánh giòn xốp, hình ống có nhân kem bên trong Được bảo quản trong hộp thiếc đảm bảo tiêu chuẩn an toàn thực phẩm Được bảo quản trong hộp thiếc đảm bảo tiêu chuẩn an toàn thực phẩm
- Hạn sử dụng: Hạn sử dụng 12 tháng, hạn sử dụng còn lại ≥ 2/3 hạn sử dụng kể từ ngày giao hàng
- Tiêu chuẩn sản xuất: Hệ thống quản lý Iso Tiêu chuẩn ISO 22000: 2018
- Sản xuất tại: Việt Nam – Công ty cổ phần quốc tế Bảo Hưng";45000;405/2025/838/HĐ;28/11/2025;…;Bùi Thị Trà Giang
175;;Bánh Omeli Cracker khoai tây 288g;Hộp;"- Khối lượng tịnh : 288g/hộp
- Thành phần cơ bản : Bột mì, chất béo thực vật ( Có chứa chất chống oxi hóa (320,321)), đường, bột bắp, sữa béo, bột khoai tây (2%), mạch nha, đường gluco, trứng gà, muối, chất tạo xốp ( amoni hydro carbonat (503ii, natri hydro carbonat 500ii), chất nhũ hóa ( lecithin 322i) hương liệu tổng hợp (khoai tây, hương hành), chất điều vị (631, 627, 621), chất xử lý bột : natri metabisulfit (223)
- Quy cách : Bánh hình tròn, mỏng, giòn được đóng màng OPP/MCPP bảo đảm an toàn thực phẩm Đóng trong hộp bằng chất liệu giấy cứng đảm bảo an toàn thực phẩm
- Hạn sử dụng: Hạn sử dụng 12 tháng, hạn sử dụng còn lại ≥ 2/3 hạn sử dụng kể từ ngày giao hàng
- Tiêu chuẩn sản xuất: Hệ thống quản lý Iso Tiêu chuẩn ISO 22000: 2018
- Sản xuất tại: Việt Nam – Công ty cổ phần quốc tế Bảo Hưng";37000;405/2025/838/HĐ;28/11/2025;…;Bùi Thị Trà Giang
176;;Kẹo sôcôla sữa Omeli Chocolate milk 138g;Hộp;"- Khối lượng: 138g/ Hộp
- Thành phần cơ bản: Chất béo thực vật, đường, bột mì, bột ca cao (1123%), sữa béo (752%), sữa bột gầy (687%), bột gạo, tinh bột bắp, tinh bột sắn biến tinh, dầu ăn, muối, chất điều vị (621), tỏi, bột ớt, đường lactose, đường dextrose, chất nhũ hóa (322(i), 476), chất làm bóng (904), hương liệu tổng hợp (vanilla, sữa, sôcôla)
- Quy cách : Nhân kẹo hình tròn giòn xốp, bên ngoài bọc lớp socola Được bảo quản trong hộp giấy đảm bảo an toàn thực phẩm
- Hạn sử dụng: Hạn sử dụng 12 tháng, hạn sử dụng còn lại ≥ 2/3 hạn sử dụng kể từ ngày giao hàng
- Tiêu chuẩn sản xuất: Hệ thống quản lý Iso Tiêu chuẩn ISO 22000: 2018
- Sản xuất tại: Việt Nam – Công ty cổ phần quốc tế Bảo Hưng";34000;405/2025/838/HĐ;28/11/2025;…;Bùi Thị Trà Giang
177;;Màn Hình led P3 trong nhà, 14m2;m2;"Modul P3 (dự phòng 02 tấm), đã bao gồm hệ khung, nẹp viền và lắp đặt	
Kích thước hiển thị (mm)	4992 x 2688
Độ phân giải màn hình (Pixels)	1664 x 896
Tỷ lệ khung hình	179
Kích thước	5x2,8m
Module LED: 366 tấm	Module Led P3
Hãng sản xuất	DAHUA
Môi trường sử dụng	Trong nhà
Loại bóng	SMD 2121
Kích thước MODULE (mm)	192 x 192
Độ phân giải MODULE (pixel)	64 x 64
Tần số làm tươi	3840hz
Khu màn hình: 14m2	Thép hộp 2x4, dày 1,4ly
Nẹp viền màn hình: 156md	Nẹp nhôm vàng
Card xử lý tín hiệu nhận (dự phòng 02 chiếc), đã bao gồm lắp đặt	
Card xử lý tín hiệu nhận: 26 chiếc	Model Bx V75E
Hãng sản xuất	Onbon
Độ phân giải Quản lý	256 x 384
Nguồn cấp 5v60a Binazk, đã bao gồm lắp đặt	
Nguồn: 48 chiếc	Model 5v60a
Hãng sản xuất	Binazk
Công xuất	300W
Bộ xử lý hình ảnh, đã bao gồm lắp đặt	
Bộ xử lý hình ảnh XL HA Bx OVP-K4: 01 bộ	Model OVP-K4
Hãng sản xuất	Onbon
Độ phân giải	13 tr
Dây mạng, đã bao gồm lắp đặt	
Dây mạng: 26 sợi	Dahua
Cáp tín hiệu, đã bao gồm lắp đặt	
Cáp tín hiệu	Onbon
	Loại 25cm: 55 sợi
	Loại 45cm: 55 sợi
	Loại 65cm: 55 sợi
	Loại 85cm: 55 sợi";16000000;405/2025/1295/HĐ;28/11/2025;…;Bùi Thị Trà Giang
178;;Màn Hình led P25 trong nhà, 375m2;m2;"1	Modul P25 (dự phòng 01 tấm), đã bao gồm hệ khung, nẹp viền và lắp đặt	
	Kích thước hiển thị (mm)	2240 x 1120
	Độ phân giải màn hình (Pixels)	896 x 512
	Tỷ lệ khung hình	167
	Kích thước	2,5x1,5m
	Module LED: 56 tấm	Module Led P25
	Hãng sản xuất	HOBBLED
	Môi trường sử dụng	Trong nhà
	Loại bóng	SMD 2121
	Kích thước MODULE (mm)	320 x 160
	Độ phân giải MODULE (pixel)	128 x 64
	Tần số làm tươi	3840hz
	Chế độ quét	1/64S
	Khu màn hình: 3,75m2	Thép hộp 2x4, dày 1,4ly
	Nẹp viền màn hình: 8md	Nẹp nhôm vàng
2	Card xử lý tín hiệu nhận (dự phòng 02 chiếc), đã bao gồm lắp đặt	
	Card xử lý tín hiệu nhận: 7chiếc	Model Bx V75E
	Hãng sản xuất	Onbon
	Độ phân giải Quản lý	256 x 384
3	Nguồn cấp 5v60a Binazk, đã bao gồm lắp đặt	
	Nguồn: 10 chiếc	Model 5v60a
	Hãng sản xuất	Binazk
	Công xuất	300W
4	Bộ xử lý hình ảnh, đã bao gồm lắp đặt	
	Bộ xử lý hình ảnh XL HA Bx OVP-K2: 01 bộ	Model OVP-K2
	Hãng sản xuất	Onbon
	Độ phân giải	13 tr
5	""Dây mạng, đã bao gồm lắp đặt		""	
	Dây mạng: 7 sợi	Dahua
6	""Cáp tín hiệu, đã bao gồm lắp đặt		""	
	Cáp tín hiệu	Onbon
		Loại 25cm: 17 sợi
		Loại 45cm: 17 sợi
		Loại 65cm: 17 sợi
		Loại 85cm: 55 sợi";19600000;405/2025/1295/HĐ;28/11/2025;…;Bùi Thị Trà Giang
179;;Ốp sân khấu ;m2;"Ốp sân khấu gỗ MDF cốt xanh dày 17mm
hệ khung sắt hộp 2x4, 14 ly";1700000;405/2025/1295/HĐ;28/11/2025;…;Bùi Thị Trà Giang
180;;"BACKDROP PHỤC VỤ HÀNH CHÍNH CÔNG
";M2;"BACKDROP PHỤC VỤ HÀNH CHÍNH CÔNG
QUY CÁCH:
Kích thước 5,55 x 3,5m
Khung sắt hộp 25x25, khoảng cách đan 0,61x0,61
Nền Alu xanh bóng 3mm,
logo Alu vàng gương chân nổi 17mm
Bộ chữ alu trắng bóng chân nổi 17mm";899974;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
181;;"Quốc huy treo mái nhà 1m x 1m
";Cái;"Quốc huy treo mái nhà 1m x 1m
chất liệu: Alu Vàng gương, họa tiết cắt decal đỏ
ngôi sao nổi, chân nổi 40mm
Treo lắp trên cao";3500000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
182;;"Trang trí Khẩu hiệu 2 bên ngoài cột sảnh trung tâm hành chính công
";Cái;"Trang trí Khẩu hiệu 2 bên ngoài cột sảnh trung tâm hành chính công
Kích thước 1,45 x 2,44m
Khung sắt hộp 20X20, khoảng cách đan 0,61x0,61
Nền fomex dày 10mm,
nội dung in UV phủ bóng";4400000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
183;;"Hộp thư góp ý
";Cái;"Hộp thư góp ý
Kích thước 1,35 x 0,9m
Một bảng gồm 5 hộp KT S10x C35x D25cm
Gỗ MDF cốt xanh chống ẩm dày 17mm
Hộp thư cánh bản lề giảm chân có khóa";3200000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
184;;"Biển chức danh tam cấp mặt bằng Đồng
đế gỗ tam cấp ";Cái;"Biển chức danh tam cấp mặt bằng Đồng
đế gỗ tam cấp sơn phủ PU
mặt đồng inox in UV 1 mặt ăn mòn nội dung sơn đỏ
KT 120x 250 mm";850000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
185;;Biển chức danh Mica dẻo0;Cái;"Biển chức danh Mica dẻo Mica dẻo 2cm, in Opset 2 mặt
kích thước 12x24 cm
mặt mica 5mm đế 20mm
nội dung in ofset giấy c300";140000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
186;;"Biển Phòng ban
";Cái;"Biển Phòng ban
Kích thước 0,25 x 0,5m
Chất liệu in decal cán trên alu";120000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
187;;"Biển khung 7,3m x 90cm x 2 mặt + nền 2 cột
";M2;"Biển khung 7,3m x 90cm x 2 mặt + nền 2 cột
Kích thước 7,3 x 0,9m x 0,3m
chân cao 1,2 x 0,3 x 0,3 x 0,3 x0,3m
Chất liệu mặt nền Alu đỏ 3mm, nội dung chữ nổi 17mm cắt cnc Alu vàng gương, ốp 04 cạnh alu đỏ
chân cột ốp màu ghi";2550000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
188;;"Biển niêm yết cỡ hộp
";Cái;"Biển niêm yết cỡ hộp
Kích thước 1,2 x 1,3m
Khung nhôm trắng, nền alu, nội dung in decal UV
Hộp nhôm kích thuớc 220x300mm nổi 30mm mặt alu mã in mã QR";546000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
189;;"Biển thông báo, nội quy, thủ tục lệ phí TTHC
";Cái;"Biển thông báo, nội quy, thủ tục lệ phí TTHC
Kích thước 0,8 x 1,2M
Khung nhôm, in decal UV can alu 2mm";2600000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
190;;"Maket phòng họp (khung + in, căng 2x1m)
";Cái;"Maket phòng họp (khung + in, căng 2x1m)
Khung Maket Kích Thước 1,2 X 2M
Khung Sát Hộp 16x16, Mặt Bạt Hiflex 032";730000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
191;;"Maket phòng họp (in, căng) 2x1,2m
";Cái;"Maket phòng họp (in, căng) 2x1,2m
Khung Maket Kích Thước 1,2 X 2m
Mặt Bạt Hiflex 032
";480000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
192;;"Maket hội trường (khung + in, căng) 3x1,5m
";Cái;"Maket hội trường (khung + in, căng) 3x1,5m
Khung Maket Kích Thước 1,5 X 3m
Khung Sát Hộp 20x20, Mặt Bạt Hiflex 032";1642500;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
193;;"Băng rôn in bạt 8m x 0,7 + ống sắt 2 bên
";Cái;"Băng rôn in bạt 8m x 0,7 + ống sắt 2 bên
In băng rôn vượt đường dài 8m
chất liệu in bạt hiflex 032, gấp mét hai đâu
thép hộp 14x14 dài 0,8m";1008000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
194;;"Maket phiên họp thứ II 2x1m
";Cái;"Maket phiên họp thứ II 2x1m
Khung Maket Kích Thước 1m X 2m
Khung Sát Hộp 16x16, Mặt Bạt Hiflex 032";400000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
195;;"Biển khẩu hiệu
Kích thước 8,6 x 0,8m
";Cái;"Biển khẩu hiệu
Kích thước 8,6 x 0,8m
Khung sắt hộp 25x50, khoẳng cách đan 0,61x0,61
Nền Alu đỏ 2mm,
Bộ chữ Alu vàng gương chân nổi 17mm";8256000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
196;;"Bảng phòng tiếp công dân
";Cái;"Bảng phòng tiếp công dân
QUY CÁCH:
Kích thước 1,83 x 2,39M
Khung sắt hộp 2x2, khoảng cách đan 0,61x0,61
Nền Alu trắng bóng 2mm,
Bộ chữ + logo Alu vàng gương chân nổi 13mm";4370000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
197;;In Thẻ cán bộ công nhân viên;Cái;In Thẻ cán bộ công nhân viên;40000;405/2025/1143/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
198;;Kiosk thông minh;TT;"Việt Nam
Kiosk thông minh: Xếp hàng, tra cứu & phục vụ dịch vụ công
* MÀN HÌNH:
- Kích thước: 27 inch LED Backlight
- Độ sáng: 300cd/m2
- Tương phản: 1000:1
- Độ phân giải: 1920 x 1080 (Full HD)
- Góc nhìn: 178 độ
- Loa speaker: 2x5W
- Công nghệ chạm: Capacitive Multi-touch screen, up to 10 points
- Tuổi thọ số lần chạm: Up to 10000000 touch
- Thời gian phản hồi: 5ms
* BỘ VI XỬ LÝ TRUNG TÂM:
- CPU/Bộ vi xử lý: Intel® Core™ i3 - gen 10th
- RAM/Bộ nhớ trong: 8GB
- Bộ nhớ lưu trữ: SSD 256GB
- Thẻ đồ họa: Intel® UHD Graphics output up to 4K@60Hz
- Kết nối mạng: Ethernet Controller Giga LAN 10/100/1000 Mbps
- Cổng kết nối: 6*USB-A, 1*USB-C, 1*HDMI, 1*VGA, 1*Line-out
* MÁY IN PHIẾU:
- Máy in phiếu gắn trong, Công nghệ in nhiệt trực tiếp, khổ giấy 80mm
- Điều khiển mở khay lấy giấy bằng mơ tơ điện tự động
- Khay thay giấy từ phía trước, cắt giấy tự động, bền bỉ
- Kết nối: USB
* ĐẦU ĐỌC QRCODE:
- Đọc các loại mã vạch 1D (Barecode) và 2D (QRcode) 
- Đoc các loại thẻ: CCCD, thẻ CC, thẻ BHYT, barecode hồ sơ, đọc trên giấy và LCD 
- Cảm biến hình ảnh lớn, tốc độ đọc cao, Góc đọc rộng, đọc và giải mã thông tin tiếng Việt
* ĐẦU ĐỌC CCCD gắn chip
Đọc CCCD bằng một động tác là giải mã thành tiếng Việt ra các trường dữ liệu: Hình ảnh, số CCCD, ngày cấp, ngày hết hạn, số CMND, Họ và tên, Ngày tháng năm sinh, Dân tộc, Giới tính…
Nhận dạng thẻ CCCD thật/ giả
Cổng giao tiếp: USB, Ethernet
Đọc thẻ không tiếp xúc (contactless): tốc độ đọc lên đến 424 Kbps, chuẩn ISO14443 Type A/B, hỗ trợ đọc thẻ căn cước gắn chip
Đọc mã QR code: hỗ trợ đọc mã QR code trên CCCD, tốc độ đọc cao, chuẩn xác
Hỗ trợ đọc chỉ 01 thao tác: đọc thẻ không tiếp xúc (NFC) và quét mã QR code chỉ với 01 thao tác, tự động kiểm tra trạng thái có thẻ và không có thẻ
Ngoại vi: còi báo hiệu trạng thái tiếng Beep
Nhiệt độ hoạt động: 0°C ~ 60°C
Độ ẩm hoạt động: tới 85% (không ngưng tụ)
Tốc độ: 20 tốc độ cao
Tần số hoạt động: 1356 MHz
Đọc và giải mã trên CCCD: đọc QR code trên căn cước công dân tự động, đọc OCR trên thẻ CCCD
Còi Buzzer: báo hiệu đọc QR thành công
Ứng dụng phần mềm: hỗ trợ API tích hợp với phần mềm bên thứ 3
Hệ điều hành hỗ trợ: Win 10, Win11, Linux
- Xác thực thông tin người dùng phục vụ cho hệ thống xếp hàng
- Sẵn sàng tích hợp xác thực CCCD với Cơ sở dữ liệu thông tin của BCA
* CAMERA:
Độ phân giải 2K@30/25fps Độ sáng tối thiểu: 01 Lux (@ F12, AGC ON) AGC tự điều chỉnh độ sáng Tích hợp Mic, chống độ rung mạnh
* AN TOÀN:
- An toàn điện: Cách ly điện áp cao, tự động ngắt điện tự động khi có sự cố điện
- Thiết kế cơ khí: Đế chắc chắn, vật liệu chống trượt chống đổ, phân bố trọng lực tốt, phù hợp nơi công cộng
CHỨNG NHẬN:
- ISO 9001:2015
- ISO 45001:2018
- ISO 14001:2015
- ISO 27001:2022";54307000;405/2025/1206/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
199;;"Hệ thống quản lý kiosks và xếp hàng VDS - SQSM v10
";License/Hệ thống;"Việt Nam
Hệ thống quản lý kiosks và xếp hàng VDS - SQSM v10
1 Module cấu hình
- Thiết bị được lập trình tự động tắt vào thời điểm kết thúc ngày làm việc, giúp tiết kiệm điện năng và hạn chế can thiệp thủ công
- Sau khi khởi động, kiosk sẽ tự động chạy ứng dụng tra cứu hoặc lấy số thứ tự mà không cần thao tác từ người dùng Giao diện URL được ẩn và màn hình được khóa để ngăn chặn truy cập hoặc thao tác trái phép, đặc biệt phù hợp cho các mô hình kiosk phục vụ công cộng như tra cứu thông tin hành chính
- Hệ thống hỗ trợ giám sát thời gian thực các chỉ số quan trọng của thiết bị như tình trạng CPU, mức sử dụng RAM, ổ cứng và kết nối mạng Dữ liệu này được tổng hợp và hiển thị qua giao diện dashboard trực quan
- Cho phép cấu hình mở URL hiển thị chỉ định
- Cho phép cấu hình phát nội dung quảng báo chờ khi không có thao tác
- Giao diện quản trị cấu hình tham số thiết bị
- Cấu hình tùy chỉnh thiết lập số quầy theo số lượng, cách hiển thị
2 Module hiển thị gọi số - VDS Queue Display Manager (VDS-QDM)
- Giao diện hiển thị tại màn hình quầy: Cài đặt cấu hình hiển thị cho màn hình, hiển thị số thứ tự, quầy, tên dịch vụ
- Màn hình hiển thị trung tâm: Hiển thị tùy chỉnh số lượng quầy được cấu hình, tùy biến logo, chữ chạy
3 Module gọi số tại quầy - VDS Queue Call Station (VDS-QCS)
- Hiển thị thông tin khách hàng đang đến lượt
- Có các chức năng gọi lại, gọi số tiếp theo, chuyển số giữa các quầy
- Thông báo khi có số mới trong hàng chờ qua hệ thống loa
4 Module Tra cứu & Tìm kiếm thủ tục dịch vụ – VDS Service Lookup (VDS-SLK)
Tra cứu dịch vụ hành chính công: Cho phép người dân tra cứu thủ tục, hồ sơ, tình trạng giải quyết hoặc thông tin liên hệ; Giao diện tối ưu cho thao tác cảm ứng, hỗ trợ tìm kiếm theo tên, mã hồ sơ, hoặc mã QR
5 Module Báo cáo & Phân tích dữ liệu – VDS Report & Analytics (VDS-RPA)
Báo cáo đa chiều: Thống kê lượng khách đến theo giờ, dịch vụ, quầy, nhân viên; Thời gian chờ trung bình, thời gian phục vụ trung bình; Tỷ lệ hoàn tất, tỷ lệ chuyển số, tỷ lệ hủy
Tùy biến mẫu báo cáo: Cho phép người dùng chọn tiêu chí lọc và định dạng xuất (PDF, Excel, CSV)
Phân tích nâng cao: Biểu đồ thời gian thực hiển thị hiệu suất từng quầy; Cảnh báo khi phát hiện quầy tắc nghẽn hoặc thời gian chờ vượt ngưỡng
Hỗ trợ dashboard tổng hợp: Giao diện quản trị trực quan hiển thị dữ liệu tổng hợp toàn hệ thống
6 Module Bảo mật & Kết nối hệ thống
Phân quyền chi tiết: Cho phép cấu hình quyền xem, sửa, quản lý từng module
Kết nối & Mở rộng: Tích hợp HTTPS, MQTT, WebSocket/ RESTful API cho phép kết nối liên hệ thống khác; Hỗ trợ triển khai tại chỗ (on-premise) hoặc trên nền tảng đám mây (cloud); Cho phép giám sát và điều khiển từ xa qua giao diện quản lý trung tâm
";49500000;405/2025/1206/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
200;;"Switch
";Chiếc;"Switch TP Link TL-SF1016D 16 port/ Châu Á
Switch
Interface: 16×10/100Mbps RJ45, Auto Negotiation/MDI/MDIX
Công suất: Tối đa 31W (220V/50Hz)
Nguồn: 100~240VAC, 50/60Hz
Chuyển mạch: Store and Forward
Chức năng: Green Tech tiết kiệm 80%, 8023X Flow Control, Back Pressure
Chứng nhận: FCC, CE, RoHS";472000;405/2025/1206/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
201;;"Màn hình hiển thị trung tâm 55 inhches (TV) 
";Cái;"55C350RP/Toshiba
Châu Á
41 Màn hình hiển thị trung tâm 55 inhches (TV) 
- Kích thước màn hình: 55 inches
- Độ phân giải: Ultra HD 4K (3840 x 2160 pixels)
- Tỉ lệ khung hình: 16:9
- Cổng kết nối: HDMI; USB; AV in, Optical out
- Nguồn điện: 100 – 240V AC, 50/60Hz
- Loa tích hợp: Có, stereo
- Lắp đặt: Treo tường hoặc chân đế
- Điều khiển: Remote hồng ngoại hoặc Bluetooth
- Có giá treo ti vi";9774000;405/2025/1206/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
202;;"Bộ xử lý hiển thị trung tâm 
";Bộ;"Phần cứng: (Rashberry pi 5 - Rashberry Pi ltd) 
Module Phần mềm tích hợp: (SQSM v10 - VDS)
UK
42 Bộ xử lý hiển thị trung tâm 
- Kết nối với màn hình hiển thị trung tâm 55 inhches
- Vi xử lý: CPU ARM
- GPU: GPU VideoCore
- RAM: 4GB
- Lưu trữ: MicroSD 32GB
- Cổng kết nối:
+ 2 x Micro-HDMI
+ 2 x USB 30, 2 x USB 20
+RJ45
- Phụ kiện đi kèm: 
+ 1* Adapter + cáp nguồn
+ 2* Cáp tín hiệu hình ảnh
+ Tích hợp module có chức năng hiển thị số toàn bộ quầy";4800000;405/2025/1206/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
203;;"LED hiển thị số
";Bộ/Quầy;"VHB051843 - VHB
Châu Á
LED hiển thị số
Loại LED: LED P5 full màu
Nguồn điện: 220VAC, 50/60Hz
Giao tiếp: API giao thức TCP/IP
Tuỳ chọn hiển thị: 1, 2 dòng; full màu; hiệu ứng cơ bản
Khung vỏ: Thép sơn tĩnh điện; 
Bộ giá đỡ";2890000;405/2025/1206/CTTĐG-VNVIC;28/11/2025;…;Bùi Thị Trà Giang
